directorate,unit
CEO Office,Other
CEO Office,Corporate Affairs & Strategic Communication Unit
CEO Office,Human Capital Unit
CEO Office,Internal Audit Sub Unit
CEO Office,Procurement & General Service Sub Unit
CEO Office,Risk Fraud Legal Compliance Unit
Commercial,Other
Commercial,Customer Support Operations Unit
Commercial,Account Management Unit
Commercial,B2B Partnership Unit
Commercial,Product Management Unit
Commercial,Product Solutions Unit
Commercial,Marketing & Growth Unit
Commercial,Commercial Strategy Sub Unit
Finance & Strategy,Other
Finance & Strategy,Finance Group
Finance & Strategy,Corporate Finance Unit
Finance & Strategy,Operational Finance Unit
Technology,Other
Technology,Engineering Group
Technology,Software Engineering Unit
Technology,Technical System & Development Analyst Sub Unit
Technology,Infrastructure Engineering & Cyber Security Group
Technology,Cloud Architect Unit
Technology,Cyber Security Sub Unit
Technology,Business Support Systems Sub Unit
Technology,Site Reliability Engineering Sub Unit
Technology,SDET Sub Unit
